sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,474,Bahia  de San Hipolito,Bahia del Espiritu Santo,Anahuac I Seccion,Miguel Hidalgo,19.438984,-99.177549,Arroyo,Instalada
Ecobici,475,Lago Muritz,Lago Alberto,Anahuac I Seccion,Miguel Hidalgo,19.439249,-99.181065,Arroyo,Instalada
Ecobici,477,Lago Iseo,Laguna de Mayran,Anahuac I Seccion,Miguel Hidalgo,19.440905,-99.181743,Arroyo,Instalada
Ecobici,478,Laguna de Mayran,Lago Chalco,Anahuac I Seccion,Miguel Hidalgo,19.440818,-99.176961,Arroyo,Instalada
Ecobici,513,Avenida Aquiles Serdan,Av. Invierno,Angel Zimbron,Azcapotzalco,19.46961,-99.18983,Arroyo,Instalada
Ecobici,514,Jose F. Gutierrez,Avenida Invierno,Angel Zimbron,Azcapotzalco,19.470485,-99.188509,Arroyo,Instalada
Ecobici,246,Leibnitz,Thiers,Anzures,Miguel Hidalgo,19.434147,-99.179835,Arroyo,Instalada
Ecobici,247,Herschel,Rousseau,Anzures,Miguel Hidalgo,19.432276,-99.18064,Arroyo,Instalada
Ecobici,248,Shakespeare,Lafayette,Anzures,Miguel Hidalgo,19.43175,-99.177399,Arroyo,Instalada
Ecobici,249,Shakespeare,Darwin,Anzures,Miguel Hidalgo,19.429877,-99.177569,Arroyo,Instalada
Ecobici,250,Darwin,Mariano Escobedo,Anzures,Miguel Hidalgo,19.428949,-99.179796,Banqueta,Instalada
Ecobici,251,Goethe,Darwin,Anzures,Miguel Hidalgo,19.429261,-99.17538,Arroyo,Instalada
Ecobici,252,Victor Hugo,Shakespeare,Anzures,Miguel Hidalgo,19.427575,-99.17702,Arroyo,Instalada
Ecobici,253,Dante,Tolstoi,Anzures,Miguel Hidalgo,19.4264486,-99.1781433,Arroyo,Instalada
Ecobici,452,Leibnitz,Av. Ejercito Nacional,Anzures,Miguel Hidalgo,19.435867,-99.179856,Arroyo,Instalada
Ecobici,536,Fresno,Eje 2 Norte Eulalia Guzm<e1>n,Atlampa,Cuauhtemoc,19.458881,-99.159215,Arroyo,Instalada
Ecobici,537,Fresno,Clavel,Atlampa,Cuauhtemoc,19.457594,-99.159455,Arroyo,Instalada
Ecobici,539,Naranjo,Av. Ricardo Flores Mag<f3>n,Atlampa,Cuauhtemoc,19.455189,-99.157644,Arroyo,Instalada
Ecobici,662,Manzano,Circuito Interior,Axotla,Alvaro Obregon,19.362041,-99.175158,Arroyo,Instalada
Ecobici,663,Hortensia,Av. Universidad,Axotla,Alvaro Obregon,19.3548028,-99.17541944,Arroyo,Instalada
Ecobici,702,Fernandez Leal,Plaza de la Conchita,Barrio la Concepcion,Coyoacan,19.347246,-99.15857,Arroyo,Instalada
Ecobici,704,Pacifico,Asia,Barrio la Concepcion,Coyoacan,19.344976,-99.157824,Arroyo,Instalada
Ecobici,706,Canada,Acolotitla,Barrio San Lucas,Coyoacan,19.347503,-99.15244,Arroyo,Instalada
Ecobici,194,Circuito Mahatma Gandhi,Av. Paseo de la Reforma,Bosque de Chapultepec,Miguel Hidalgo,19.424282,-99.180334,Banqueta,Instalada
Ecobici,195,Av. Paseo de la Reforma,Mahatma Gandhi,Bosque de Chapultepec,Miguel Hidalgo,19.424858,-99.185181,Camell<f3>n,Instalada
Ecobici,192-193,Ruben Dario,Av. Paseo de la Reforma,Bosque de Chapultepec,Miguel Hidalgo,19.42592,-99.190755,Camell<f3>n,Instalada
Ecobici,176,Jesus Garcia,Luis Donaldo Colosio,Buenavista,Cuauhtemoc,19.442717,-99.152262,Arroyo,Instalada
Ecobici,265,Mina,Jesus Garcia,Buenavista,Cuauhtemoc,19.440839,-99.152265,Arroyo,Instalada
Ecobici,264-275,Heroes Ferrocarrileros,Jesus Garcia,Buenavista,Cuauhtemoc,19.440985,-99.152935,Arroyo,Instalada
Ecobici,266-267,Jesus Garcia,Carlos J. Meneses,Buenavista,Cuauhtemoc,19.444031,-99.152187,Arroyo,Instalada
Ecobici,268-269,Luis Donaldo Colosio,Jesus Garcia,Buenavista,Cuauhtemoc,19.442467,-99.151658,Arroyo,Instalada
Ecobici,271-272,Jesus Garcia,Carlos J. Meneses,Buenavista,Cuauhtemoc,19.443684,-99.152465,Arroyo,Instalada
Ecobici,273-274,Luis Donaldo Colosio,Jesus Garcia,Buenavista,Cuauhtemoc,19.442707,-99.152956,Arroyo,Instalada
Ecobici,100,20 de Noviembre,Mesones,Centro,Cuauhtemoc,19.428485,-99.1338,Banqueta,Instalada
Ecobici,102,Echeveste,Simon Bolivar,Centro,Cuauhtemoc,19.428214,-99.139494,Banqueta,Instalada
Ecobici,104,San Jeronimo,Isabel la Catolica,Centro,Cuauhtemoc,19.427059,-99.137116,Banqueta,Instalada
Ecobici,105,San Jeronimo,5 de Febrero,Centro,Cuauhtemoc,19.426755,-99.135014,Arroyo,Instalada
Ecobici,106,San Jeronimo,Jose Maria Pino Suarez,Centro,Cuauhtemoc,19.42649,-99.133537,Banqueta,Instalada
Ecobici,109,Nezahualcoyotl,Isabel la Catolica,Centro,Cuauhtemoc,19.425311,-99.137421,Arroyo,Instalada
Ecobici,260,Juarez,Balderas,Centro,Cuauhtemoc,19.4352787,-99.1477913,Banqueta,Instalada
Ecobici,262,Republica de Cuba,Republica de Brasil,Centro,Cuauhtemoc,19.436931,-99.133952,Arroyo,Instalada
Ecobici,556,Plaza Tlaxcoaque,Diagonal 20 de Noviembre,Centro,Cuauhtemoc,19.423056,-99.134941,Arroyo,Instalada
Ecobici,558,Chimalpopoca,Simon Bolivar,Centro,Cuauhtemoc,19.4223,-99.139872,Arroyo,Instalada
Ecobici,29,Av. Paseo de la Reforma,Bucareli,Centro,Cuauhtemoc,19.434944,-99.150295,Banqueta,Instalada
Ecobici,43,Juarez,Doctor Mora,Centro,Cuauhtemoc,19.4351365,-99.1460756,Banqueta,Instalada
Ecobici,48,Independencia,Azueta,Centro,Cuauhtemoc,19.433705,-99.146665,Banqueta,Instalada
Ecobici,52,Hidalgo,Trujano,Centro,Cuauhtemoc,19.436208,-99.141931,Banqueta,Instalada
Ecobici,55,5 de Mayo,Simon Bolivar,Centro,Cuauhtemoc,19.434514,-99.138068,Banqueta,Instalada
Ecobici,65,Marconi,Tacuba,Centro,Cuauhtemoc,19.436522,-99.139811,Arroyo,Instalada
Ecobici,82,Independencia,Jose Maria Marroqui,Centro,Cuauhtemoc,19.433344,-99.14404,Banqueta,Instalada
Ecobici,87,Gante,Venustiano Carranza,Centro,Cuauhtemoc,19.432024,-99.139705,Banqueta,Instalada
