num_cicloe,nombre_estacion,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e
53,Fernando Montes De Oca_Tula,Fernando Montes De Oca,Tula,Condesa,Cuauhtemoc,19.4148233,-99.1783527,Arroyo
54,Parque España_Sonora,Parque España,Sonora,Condesa,Cuauhtemoc,19.416163,-99.170795,Arroyo
55,5 De Mayo_Bolívar,5 De Mayo,Bolívar,Centro,Cuauhtemoc,19.434514,-99.138068,Banqueta
56,Alvaro Obregón_Medellin,Alvaro Obregón,Medellin,Roma Norte,Cuauhtemoc,19.417102,-99.165607,Banqueta
57,Cuernavaca_Juan Escutia,Cuernavaca,Juan Escutia,Condesa,Cuauhtemoc,19.414968,-99.174766,Arroyo
58,Parque España_Juan De La Barrera,Parque España,Juan De La Barrera,Condesa,Cuauhtemoc,19.415358,-99.171902,Banqueta
59,Popocatépetl_Ámsterdam,Popocatépetl,Ámsterdam,Hipodromo,Cuauhtemoc,19.415237,-99.16659,Arroyo
60,Mazatlán_Fernando Montes De Oca,Mazatlán,Fernando Montes De Oca,Condesa,Cuauhtemoc,19.414119,-99.177214,Banqueta
61,Avenida México_Sonora,Avenida México,Sonora,Hipodromo,Cuauhtemoc,19.413789,-99.169427,Arroyo
62,Fernando Montes De Oca_Amatlan,Fernando Montes De Oca,Amatlan,Condesa,Cuauhtemoc,19.413314,-99.175225,Arroyo
63,Nuevo León_Laredo,Nuevo León,Laredo,Hipodromo,Cuauhtemoc,19.41299,-99.171675,Banqueta
64,Sonora_Ámsterdam,Sonora,Ámsterdam,Hipodromo,Cuauhtemoc,19.412982,-99.166936,Arroyo
65,Marconi_Tacuba,Marconi,Tacuba,Centro,Cuauhtemoc,19.436522,-99.139811,Arroyo
66,Mazatlán_Francisco Márquez,Mazatlán,Francisco Márquez,Condesa,Cuauhtemoc,19.411825,-99.178456,Banqueta
67,Vicente Suárez_Michoacán,Vicente Suárez,Michoacán,Condesa,Cuauhtemoc,19.411703,-99.175753,Arroyo
68,Tamaulipas_Michoacán,Tamaulipas,Michoacán,Condesa,Cuauhtemoc,19.411771,-99.173783,Banqueta
69,Michoacán_Ámsterdam,Michoacán,Ámsterdam,Hipodromo,Cuauhtemoc,19.410797,-99.168143,Arroyo
70,Parque México_Michoacán,Parque México,Michoacán,Hipodromo,Cuauhtemoc,19.41128,-99.169825,Arroyo
71,Amsterdam_Michoacan,Amsterdam,Michoacan,Hipodromo,Cuauhtemoc,19.411361,-99.171271,Arroyo
72,Mazatlán_Alfonso Reyes,Mazatlán,Alfonso Reyes,Hipodromo Condesa,Cuauhtemoc,19.409859,-99.179565,Banqueta
73,Campeche_Tamaulipas,Campeche,Tamaulipas,Hipodromo Condesa,Cuauhtemoc,19.410073,-99.175542,Arroyo
74,Nuevo León_Ozulama,Nuevo León,Ozulama,Hipodromo,Cuauhtemoc,19.410468,-99.172802,Banqueta
75,Alfonso Reyes_Atlixco,Alfonso Reyes,Atlixco,Hipodromo Condesa,Cuauhtemoc,19.408676,-99.176759,Banqueta
76,Chilpancingo_Campeche,Chilpancingo,Campeche,Hipodromo,Cuauhtemoc,19.4086886,-99.169938,Arroyo
77,Choapan_Tamaulipas,Choapan,Tamaulipas,Hipodromo,Cuauhtemoc,19.406745,-99.178272,Arroyo
78,Benjamín Hill_Tamaulipas,Benjamín Hill,Tamaulipas,Hipodromo,Cuauhtemoc,19.407512,-99.177361,Arroyo
79,Saltillo_Alfonso Reyes,Saltillo,Alfonso Reyes,Hipodromo,Cuauhtemoc,19.407479,-99.174403,Banqueta
80,Nuevo León_Aguascalientes,Nuevo León,Aguascalientes,Hipodromo,Cuauhtemoc,19.407233,-99.172131,Banqueta
81,Aguascalientes_Insurgentes,Aguascalientes,Insurgentes,Hipodromo,Cuauhtemoc,19.407927,-99.168734,Arroyo
82,Independencia_Marroquí,Independencia,Marroquí,Centro,Cuauhtemoc,19.433344,-99.14404,Banqueta
83,Alfonso Reyes_Nuevo León,Alfonso Reyes,Nuevo León,Hipodromo,Cuauhtemoc,19.40655,-99.172275,Arroyo
84,Chilpancingo_Tlaxcala,Chilpancingo,Tlaxcala,Hipodromo,Cuauhtemoc,19.406872,-99.169572,Arroyo
85,Rosas Moreno_Sullivan,Rosas Moreno,Sullivan,San Rafael,Cuauhtemoc,19.434081,-99.162434,Arroyo
86,Sullivan_Insurgentes,Sullivan,Insurgentes,San Rafael,Cuauhtemoc,19.432452,-99.15924,Banqueta
87,Gante_Venustiano Carranza,Gante,Venustiano Carranza,Centro,Cuauhtemoc,19.432024,-99.139705,Banqueta
88,2A Cerrada De 5 De Mayo_Palma,2A Cerrada De 5 De Mayo,Palma,Centro,Cuauhtemoc,19.433757,-99.135331,Banqueta
