Prefix,num_cicloe,calle_prin,calle_secu
CE,134,ÁLVARO OBREGÓN,ORIZABA
CE,135,ÁLVARO OBREGÓN,MORELIA
CE,136,ÁLVARO OBREGÓN,TONALÁ
CE,137,ÁLVARO OBREGÓN,MÉRIDA
CE,138,GUANAJUATO,FRONTERA
CE,139,TONALÁ,GUANAJUATO
CE,140,MÉRIDA,ZACATECAS
CE,141,ZACATECAS,LUIS CABRERA
CE,142,SAN LUIS POTOSÍ,EJE 2 PTE. MONTERREY
CE,143,CÓRDOBA,SAN LUIS POTOSÍ
CE,144,FRONTERA,SAN LUIS POTOSÍ
CE,145,YUCATÁN,CHIAPAS
CE,146,COAHUILA,MANZANILLO
CE,147,COAHUILA,ORIZABA
CE,148,COAHUILA,AV. CUAUHTÉMOC
CE,149,MÉRIDA,ANTONIO M. ANZA
CE,150,CAMPECHE,MEDELLÍN
CE,151,CAMPECHE,TONALÁ
CE,152,TLACOTALPAN,CAMPECHE
CE,153,MANZANILLO,TLAXCALA
CE,154,TUXPAN,TLAXCALA
CE,155,JALAPA,TLAXCALA
CE,156,TEPIC,ARIO
CE,157,TEPIC,TLACOTALPAN
CE,158-159,HUATABAMPO,EJE 1 PTE. AV. CUAUHTÉMOC
CE,160,ALFONSO HERRERA,GABINO BARREDA
CE,161,QUINTANA ROO,MANZANILLO
CE,162,TEHUANTEPEC,MEDELLÍN
CE,163,TOLUCA,BAJÍO
CE,164,BAJÍO,TLACOTALPAN
CE,165,BAJÍO,EJE 2 PTE. MONTERREY
CE,166,PROGRESO,CDA. ANTONIO MACEO
CE,167,GENERAL SALVADOR ALVARADO,PROGRESO
CE,168,COMERCIO,PROGRESO
CE,169,PROSPERIDAD,PROGRESO
CE,170,OBSERVATORIO ORIENTE,REVOLUCIÓN
CE,171,COMERCIO,JOSE MARTÍ
CE,172,GENERAL FRANCISCO MURGUÍA,JOSÉ MARTÍ
CE,173,MINERÍA,JOSÉ MARTÍ
CE,174,JOAQUÍN GARCIA ICAZBALCETA,IGNACIO MANUEL ALTAMIRANO
CE,175,MUTUALISMO,JOSÉ MARTÍ
CE,176,AV. JESÚS GARCÍA,LUIS DONALDO COLOSIO
CE,177,BENJAMÍN HILL,CARLOS ZETINA
CE,178,TAMAULIPAS,FRANCISCO MURGUÍA
CE,179,NUEVO LEÓN,QUINTANA ROO
CE,180,QUINTANA ROO,VILLAHERMOSA
CE,181,BENJAMÍN FRANKLIN,OMETUSCO
CE,182,PROGRESO,ASTRÓNOMOS
CE,183,GABINO BARREDA,GUILLERMO PRIETO
CE,184,GENERAL GÓMEZ PEDRAZA,GOBERNADOR TIBURCIO MONTIEL
CE,185,GENERAL ANTONIO LÉON,GENERAL PEDRO ANTONIO DE LOS SANTOS
CE,186,GOB. GREGORIO V. GELATI,GRAL. FRANCISCO MOLINOS DEL CAMPO
CE,187,GENERAL CANO,GOBERNADOR GREGORIO V. GELATI
CE,188,GOBERNADOR MELCHOR MÚZQUIZ,GOBERNADOR IGNACIO ESTEVA
CE,189,GOBERNADOR RAFAEL REBOLLAR,GOBERNADOR JOSÉ CEBALLOS
CE,190,GOBERNADOR IGNACIO ESTEVA,MAESTRO JOSÉ VASCONCELOS
CE,191,GOBERNADOR RAFAEL REBOLLAR,GOBERNADOR VICENTE EGUÍA
CE,192-193,RUBÉN DARÍO,REFORMA
CE,194,CIRCUITO MAHATMA GANDHI,REFORMA
