Prefix,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ce,55,5 De Mayo,Bolívar,Centro,Cuauhtemoc,19.434514,-99.138068,Banqueta,Instalada
Ce,56,Alvaro Obregón,Medellin,Roma Norte,Cuauhtemoc,19.417102,-99.165607,Banqueta,Instalada
Ce,57,Cuernavaca,Juan Escutia,Condesa,Cuauhtemoc,19.414968,-99.174766,Arroyo,Instalada
Ce,58,Parque España,Juan De La Barrera,Condesa,Cuauhtemoc,19.415358,-99.171902,Banqueta,Instalada
Ce,59,Popocatépetl,Ámsterdam,Hipodromo,Cuauhtemoc,19.415237,-99.16659,Arroyo,Instalada
Ce,60,Mazatlán,Fernando Montes De Oca,Condesa,Cuauhtemoc,19.414119,-99.177214,Banqueta,Instalada
Ce,61,Avenida México,Sonora,Hipodromo,Cuauhtemoc,19.413789,-99.169427,Arroyo,Instalada
Ce,62,Fernando Montes De Oca,Amatlan,Condesa,Cuauhtemoc,19.413314,-99.175225,Arroyo,Instalada
Ce,63,Nuevo León,Laredo,Hipodromo,Cuauhtemoc,19.41299,-99.171675,Banqueta,Instalada
Ce,64,Sonora,Ámsterdam,Hipodromo,Cuauhtemoc,19.412982,-99.166936,Arroyo,Instalada
Ce,65,Marconi,Tacuba,Centro,Cuauhtemoc,19.436522,-99.139811,Arroyo,Instalada
Ce,66,Mazatlán,Francisco Márquez,Condesa,Cuauhtemoc,19.411825,-99.178456,Banqueta,Instalada
Ce,67,Vicente Suárez,Michoacán,Condesa,Cuauhtemoc,19.411703,-99.175753,Arroyo,Instalada
Ce,68,Tamaulipas,Michoacán,Condesa,Cuauhtemoc,19.411771,-99.173783,Banqueta,Instalada
Ce,69,Michoacán,Ámsterdam,Hipodromo,Cuauhtemoc,19.410797,-99.168143,Arroyo,Instalada
Ce,70,Parque México,Michoacán,Hipodromo,Cuauhtemoc,19.41128,-99.169825,Arroyo,Instalada
Ce,71,Amsterdam,Michoacan,Hipodromo,Cuauhtemoc,19.411361,-99.171271,Arroyo,Instalada
Ce,72,Mazatlán,Alfonso Reyes,Hipodromo Condesa,Cuauhtemoc,19.409859,-99.179565,Banqueta,Instalada
